,0,1,2,3,4,5
0,132.4499969482422,130.85000610351562,130.0,129.5500030517578,130.85000610351562,129.47999572753906
1,130.85000610351562,130.0,129.5500030517578,130.85000610351562,129.47999572753906,130.50999450683594
2,130.0,129.5500030517578,130.85000610351562,129.47999572753906,130.50999450683594,130.22999572753906
3,129.5500030517578,130.85000610351562,129.47999572753906,130.50999450683594,130.22999572753906,132.30999755859375
4,130.85000610351562,129.47999572753906,130.50999450683594,130.22999572753906,132.30999755859375,131.77999877929688
5,129.47999572753906,130.50999450683594,130.22999572753906,132.30999755859375,131.77999877929688,134.13999938964844
6,130.50999450683594,130.22999572753906,132.30999755859375,131.77999877929688,134.13999938964844,130.25
7,130.22999572753906,132.30999755859375,131.77999877929688,134.13999938964844,130.25,129.0
8,132.30999755859375,131.77999877929688,134.13999938964844,130.25,129.0,125.5
9,131.77999877929688,134.13999938964844,130.25,129.0,125.5,126.12000274658203
10,134.13999938964844,130.25,129.0,125.5,126.12000274658203,125.75
11,130.25,129.0,125.5,126.12000274658203,125.75,126.33000183105469
12,129.0,125.5,126.12000274658203,125.75,126.33000183105469,123.75
13,125.5,126.12000274658203,125.75,126.33000183105469,123.75,122.38999938964844
14,126.12000274658203,125.75,126.33000183105469,123.75,122.38999938964844,124.66999816894531
15,125.75,126.33000183105469,123.75,122.38999938964844,124.66999816894531,125.52999877929688
16,126.33000183105469,123.75,122.38999938964844,124.66999816894531,125.52999877929688,125.66000366210938
17,123.75,122.38999938964844,124.66999816894531,125.52999877929688,125.66000366210938,123.0
18,122.38999938964844,124.66999816894531,125.52999877929688,125.66000366210938,123.0,123.5199966430664
19,124.66999816894531,125.52999877929688,125.66000366210938,123.0,123.5199966430664,121.87999725341797
20,125.52999877929688,125.66000366210938,123.0,123.5199966430664,121.87999725341797,123.20999908447266
21,125.66000366210938,123.0,123.5199966430664,121.87999725341797,123.20999908447266,122.80999755859375
22,123.0,123.5199966430664,121.87999725341797,123.20999908447266,122.80999755859375,123.7300033569336
23,123.5199966430664,121.87999725341797,123.20999908447266,122.80999755859375,123.7300033569336,124.0
24,121.87999725341797,123.20999908447266,122.80999755859375,123.7300033569336,124.0,125.2300033569336
25,123.20999908447266,122.80999755859375,123.7300033569336,124.0,125.2300033569336,126.33000183105469
26,122.80999755859375,123.7300033569336,124.0,125.2300033569336,126.33000183105469,127.80999755859375
27,123.7300033569336,124.0,125.2300033569336,126.33000183105469,127.80999755859375,127.19000244140625
28,124.0,125.2300033569336,126.33000183105469,127.80999755859375,127.19000244140625,126.8499984741211
29,125.2300033569336,126.33000183105469,127.80999755859375,127.19000244140625,126.8499984741211,126.45999908447266
30,126.33000183105469,127.80999755859375,127.19000244140625,126.8499984741211,126.45999908447266,127.58999633789062
31,127.80999755859375,127.19000244140625,126.8499984741211,126.45999908447266,127.58999633789062,127.06999969482422
32,127.19000244140625,126.8499984741211,126.45999908447266,127.58999633789062,127.06999969482422,127.16000366210938
33,126.8499984741211,126.45999908447266,127.58999633789062,127.06999969482422,127.16000366210938,128.57000732421875
34,126.45999908447266,127.58999633789062,127.06999969482422,127.16000366210938,128.57000732421875,127.41999816894531
35,127.58999633789062,127.06999969482422,127.16000366210938,128.57000732421875,127.41999816894531,126.87999725341797
36,127.06999969482422,127.16000366210938,128.57000732421875,127.41999816894531,126.87999725341797,126.72000122070312
37,127.16000366210938,128.57000732421875,127.41999816894531,126.87999725341797,126.72000122070312,127.25
38,128.57000732421875,127.41999816894531,126.87999725341797,126.72000122070312,127.25,126.41000366210938
39,127.41999816894531,126.87999725341797,126.72000122070312,127.25,126.41000366210938,125.55000305175781
40,126.87999725341797,126.72000122070312,127.25,126.41000366210938,125.55000305175781,125.62000274658203
41,126.72000122070312,127.25,126.41000366210938,125.55000305175781,125.62000274658203,127.5999984741211
42,127.25,126.41000366210938,125.55000305175781,125.62000274658203,127.5999984741211,127.94000244140625
43,126.41000366210938,125.55000305175781,125.62000274658203,127.5999984741211,127.94000244140625,127.83000183105469
44,125.55000305175781,125.62000274658203,127.5999984741211,127.94000244140625,127.83000183105469,128.6699981689453
45,125.62000274658203,127.5999984741211,127.94000244140625,127.83000183105469,128.6699981689453,127.76000213623047
46,127.5999984741211,127.94000244140625,127.83000183105469,128.6699981689453,127.76000213623047,128.3800048828125
47,127.94000244140625,127.83000183105469,128.6699981689453,127.76000213623047,128.3800048828125,127.70999908447266
