,0,1,2,3,4
0,132.4499969482422,130.85000610351562,130.0,129.5500030517578,130.85000610351562
1,130.85000610351562,130.0,129.5500030517578,130.85000610351562,129.47999572753906
2,130.0,129.5500030517578,130.85000610351562,129.47999572753906,130.50999450683594
3,129.5500030517578,130.85000610351562,129.47999572753906,130.50999450683594,130.22999572753906
4,130.85000610351562,129.47999572753906,130.50999450683594,130.22999572753906,132.30999755859375
5,129.47999572753906,130.50999450683594,130.22999572753906,132.30999755859375,131.77999877929688
6,130.50999450683594,130.22999572753906,132.30999755859375,131.77999877929688,134.13999938964844
7,130.22999572753906,132.30999755859375,131.77999877929688,134.13999938964844,130.25
8,132.30999755859375,131.77999877929688,134.13999938964844,130.25,129.0
9,131.77999877929688,134.13999938964844,130.25,129.0,125.5
10,134.13999938964844,130.25,129.0,125.5,126.12000274658203
11,130.25,129.0,125.5,126.12000274658203,125.75
12,129.0,125.5,126.12000274658203,125.75,126.33000183105469
13,125.5,126.12000274658203,125.75,126.33000183105469,123.75
14,126.12000274658203,125.75,126.33000183105469,123.75,122.38999938964844
15,125.75,126.33000183105469,123.75,122.38999938964844,124.66999816894531
16,126.33000183105469,123.75,122.38999938964844,124.66999816894531,125.52999877929688
17,123.75,122.38999938964844,124.66999816894531,125.52999877929688,125.66000366210938
18,122.38999938964844,124.66999816894531,125.52999877929688,125.66000366210938,123.0
19,124.66999816894531,125.52999877929688,125.66000366210938,123.0,123.5199966430664
20,125.52999877929688,125.66000366210938,123.0,123.5199966430664,121.87999725341797
21,125.66000366210938,123.0,123.5199966430664,121.87999725341797,123.20999908447266
22,123.0,123.5199966430664,121.87999725341797,123.20999908447266,122.80999755859375
23,123.5199966430664,121.87999725341797,123.20999908447266,122.80999755859375,123.7300033569336
24,121.87999725341797,123.20999908447266,122.80999755859375,123.7300033569336,124.0
25,123.20999908447266,122.80999755859375,123.7300033569336,124.0,125.2300033569336
26,122.80999755859375,123.7300033569336,124.0,125.2300033569336,126.33000183105469
27,123.7300033569336,124.0,125.2300033569336,126.33000183105469,127.80999755859375
28,124.0,125.2300033569336,126.33000183105469,127.80999755859375,127.19000244140625
29,125.2300033569336,126.33000183105469,127.80999755859375,127.19000244140625,126.8499984741211
30,126.33000183105469,127.80999755859375,127.19000244140625,126.8499984741211,126.45999908447266
31,127.80999755859375,127.19000244140625,126.8499984741211,126.45999908447266,127.58999633789062
32,127.19000244140625,126.8499984741211,126.45999908447266,127.58999633789062,127.06999969482422
